DEP;LAT;LON
09;42.9440166;1.2207425
11;42.9960332;2.1841056
12;44.3156428;2.085129
30;43.9595307;3.4933112
31;43.3050621;0.684586
32;43.6956008;0.1802974
34;43.5916402;3.0868669
46;44.6251623;1.3160293
48;44.5428229;3.2096043
65;43.1434792;-0.1206983
66;42.6259409;2.169556
75;48.8589507;2.2770205
77;48.6185381;2.4152706
78;48.7621156;1.5574731
81;43.7920409;1.9561584
82;44.0809085;1.0891771
91;48.5304588;1.9698976
92;48.8402976;2.1012397
93;48.9098803;2.375762
94;48.7746554;2.3921195
95;49.0752002;1.8216809
